"","connectedness_level","tot_tags","tot_comments","tot_reactions","totcommon_sharedInterests","sharedBeliefs-religion","sharedBeliefs-causes_you_care_about","sharedBeliefs-cultural_background","sharedBeliefs-politics","sharedActivities-activism","sharedActivities-business","sharedActivities-event_attendance","sharedActivities-going_out","sharedActivities-sports_outdoor","sharedActivities-work_study","sameInstitution-coworker","sameInstitution-same_other_institution","sameInstitution-same_school","sameInstitution-same_university","commonPlace-live_same_city","commonPlace-live_together","commonPlace-same_hometown","is_male","friend_same_gender"
"111",6,6,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"112",5,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"113",5,0,5,36,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"114",5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"115",5,0,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"116",6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE
"117",6,5,3,36,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,TRUE
"118",6,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"119",5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"120",5,0,2,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"121",7,0,6,9,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,FALSE
"122",3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"123",3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE
"124",6,0,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,FALSE
"125",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,FALSE,TRUE
"126",1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,FALSE,TRUE
"127",1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,FALSE,TRUE
"128",1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,FALSE,TRUE
"129",1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE,TRUE
"130",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE,TRUE
"131",3,6,9,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,FALSE
"132",4,4,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,FALSE
"133",4,2,12,34,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,TRUE,TRUE
"134",4,1,4,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE,TRUE
"135",4,2,1,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,FALSE
"136",2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,TRUE
"137",2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRUE,TRUE
"138",2,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,TRUE,TRUE
"139",2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRUE,FALSE
"140",4,0,19,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,FALSE
"141",3,0,9,10,4,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE,TRUE
"142",6,5,63,40,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,FALSE,TRUE
"143",2,1,2,14,2,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,FALSE,TRUE
"144",2,0,1,8,4,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,FALSE,TRUE
"145",1,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"146",1,1,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,TRUE
"147",1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE
"148",3,0,7,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE
